operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,speed_cap_mbps,roaming,ussd_code,auto_renewal,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Banglalink,TK319USSD450MIN30D,Minute Pack @Tk.319!,Minute,0.0,450.0,0.0,30.0,0.0,No,*121*319#,Unknown,offers/prepaid/voice,0,0.71,0,319.0
Banglalink,TK269USSD300MIN30D,Minute Pack @Tk.269,Minute,0.0,330.0,0.0,30.0,0.0,No,*121*269#,Unknown,offers/prepaid/voice,0,0.82,0,269.0
Banglalink,TK29USSD46MIN24H,Minute Pack @Tk.29,Minute,0.0,45.0,0.0,2.0,0.0,No,*121*29#,Unknown,offers/prepaid/voice,0,0.64,0,29.0
Banglalink,TK137USSD200MIN7D,Minute Pack @Tk.137,Minute,0.0,200.0,0.0,7.0,0.0,No,*121*137#,Unknown,offers/prepaid/voice,0,0.69,0,137.0
Banglalink,TK227USSD250MIN30D,Minute Pack @ Tk. 227,Minute,0.0,250.0,0.0,30.0,0.0,No,*121*227#,Unknown,offers/prepaid/voice,0,0.91,0,227.0
Banglalink,TK77USSD120MIN72H,Minute Pack @Tk.77,Minute,0.0,120.0,0.0,3.0,0.0,No,*121*77#,Unknown,offers/prepaid/voice,0,0.64,0,77.0
Banglalink,TK39USSD60MIN24H,Minute Pack @Tk.39,Minute,0.0,50.0,0.0,1.0,0.0,No,*121*39#,Unknown,offers/prepaid/voice,0,0.78,0,39.0
Banglalink,TK357USSD500MIN30D,Minute Pack @Tk.357,Minute,0.0,500.0,0.0,30.0,0.0,No,*121*357#,Unknown,offers/prepaid/voice,0,0.71,0,357.0
Banglalink,TK109USSD150MIN5D,Minute Pack @Tk.109,Minute,0.0,150.0,0.0,5.0,0.0,No,Unknown,Unknown,offers/prepaid/voice,0,0.73,0,109.0
Banglalink,TK67USSD100MIN72HRS,Minute Pack @Tk.67,Minute,0.0,100.0,0.0,2.0,0.0,No,*121*67#,Unknown,offers/prepaid/voice,0,0.67,0,67.0
Banglalink,TK157USSD240MIN7D,Minute Pack @Tk. 157,Minute,0.0,240.0,0.0,7.0,0.0,No,Unknown,Unknown,offers/prepaid/voice,0,0.65,0,157.0
Banglalink,TK127USSD200MIN7D,Minute Pack @ Tk. 127,Minute,0.0,180.0,0.0,5.0,0.0,No,*121*127#,Unknown,offers/prepaid/voice,0,0.71,0,127.0
Banglalink,TK97USSD110MIN5D,Minute Pack @Tk.97,Minute,0.0,120.0,0.0,5.0,0.0,No,*121*97#,Unknown,offers/prepaid/voice,0,0.81,0,97.0
Banglalink,TK57USSD80MIN48HRS,Minute Pack @Tk.57,Minute,0.0,80.0,0.0,2.0,0.0,No,*121*57#,Unknown,offers/prepaid/voice,0,0.71,0,57.0
Banglalink,TK447USSD700MIN30D,Minute Pack @Tk.447,Minute,0.0,700.0,0.0,30.0,0.0,No,*121*447#,Unknown,offers/prepaid/voice,0,0.64,0,447.0
Banglalink,TK507USSD840MIN30D,Minute Pack @Tk.639,Minute,0.0,1000.0,0.0,30.0,0.0,No,*121*639#,Unknown,offers/prepaid/voice,0,0.64,0,639.0
Banglalink,TK419USSD650MIN30D,Minute Pack @Tk.419,Minute,0.0,620.0,0.0,30.0,0.0,No,*121*419#,Unknown,offers/prepaid/voice,0,0.68,0,419.0
Banglalink,TK327USSD450MIN30D,Minute Pack @Tk.327,Minute,0.0,400.0,0.0,30.0,0.0,No,*121*327#,Unknown,offers/prepaid/voice,0,0.82,0,327.0
Banglalink,TK729USSD1165MIN30D,Minute Pack @Tk. 729,Minute,0.0,1165.0,0.0,30.0,0.0,No,*121*729#,Unknown,offers/prepaid/voice,0,0.63,0,729.0
