operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,speed_cap_mbps,roaming,ussd_code,auto_renewal,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Grameenphone,GPC250124R,4GB + 200Minutes,Combo,4.0,200.0,0.0,30.0,0.0,No,*121*1493#,Yes,internet-packages,373.25,7.46,0,1493.0
Grameenphone,GPC250120R,3GB + 150 Minutes,Combo,3.0,150.0,0.0,90.0,0.0,No,*121*3997#,No,internet-packages,499.0,9.98,0,1497.0
Grameenphone,GPC250054R,2GB + 60 Minutes,Combo,2.0,60.0,0.0,365.0,0.0,No,*121*2997#,No,internet-packages,1498.5,49.95,0,2997.0
Grameenphone,GPD250147R,0.2 GB Streaming/Content,Data,0.2,0.0,0.0,3.0,0.0,No,*121*1043#,No,internet-packages,230.0,0,0,46.0
Grameenphone,GPD250149R,0.51 GB Streaming/Content,Data,0.51,0.0,0.0,30.0,0.0,No,*121*1044#,No,internet-packages,325.49,0,0,166.0
Grameenphone,GPD250162R,0.4 GB Internet + 0.3 GB Streaming/Content,Data,0.7,0.0,0.0,7.0,0.0,No,*121*1184#,No,internet-packages,265.71,0,0,186.0
Grameenphone,GPD250168R,0.83 GB Internet + 0.71 GB Streaming/Content,Data,1.54,0.0,0.0,30.0,0.0,No,*121*1185#,No,internet-packages,250.65,0,0,386.0
Grameenphone,GPD250199R,0.512 GB Streaming/Content,Data,0.512,0.0,0.0,30.0,0.0,No,*121*1183#,No,internet-packages,304.69,0,0,156.0
Grameenphone,GPD250153R,0.41 GB Streaming/Content,Data,0.41,0.0,0.0,30.0,0.0,No,*121*1045#,No,internet-packages,648.78,0,0,266.0
Grameenphone,GPD250155R,0.61 GB Streaming/Content,Data,0.61,0.0,0.0,30.0,0.0,No,*121*1046#,No,internet-packages,600.0,0,0,366.0
Grameenphone,GPD250201R,1.12 GB Streaming/Content,Data,1.12,0.0,0.0,30.0,0.0,No,*121*1048#,No,internet-packages,416.07,0,0,466.0
Grameenphone,GPD250164R,0.6 GB Internet + 0.5 GB Streaming/Content,Data,1.1,0.0,0.0,7.0,0.0,No,*121*1047#,No,internet-packages,223.64,0,0,246.0
Grameenphone,GPD250165R,0.63 GB Streaming/Content,Data,0.63,0.0,0.0,30.0,0.0,No,*121*1191#,No,internet-packages,453.97,0,0,286.0
Grameenphone,GPD250246R,0.48 GB Streaming/Content,Data,0.48,0.0,0.0,30.0,0.0,No,*121*117#,No,internet-packages,275.0,0,0,132.0
Grameenphone,GPD250241R,0.15 GB Internet,Data,0.15,0.0,0.0,30.0,0.0,No,*121*1072#,No,internet-packages,513.33,0,0,77.0
Grameenphone,GPD250249R,0.08 GB Internet,Data,0.08,0.0,0.0,15.0,0.0,No,*121*1333#,No,internet-packages,412.5,0,0,33.0
Grameenphone,GPC250049R,1 GB + 50 Minutes,Combo,1.0,50.0,0.0,30.0,0.0,No,*121*799#,No,internet-packages,799.0,15.98,0,799.0
Grameenphone,GPD260006R,2GB Internet,Data,2.0,0.0,0.0,7.0,0.0,No,*121*1130#,No,internet-packages,133.5,0,0,267.0
Grameenphone,GPD260027R,300 MB Internet,Data,0.293,0.0,0.0,3.0,0.0,No,*121*1182#,No,internet-packages,194.54,0,0,57.0
Grameenphone,GP-OFF-001,1 Number Plan (Prepaid plan),Tariff Plan,0.0,0.0,0.0,730,0.0,No,Unknown,Unknown,prepaid-postpaid-packages,0,1.86,0.5,497.0
Grameenphone,GP-OFF-002,Nishchinto Basic (Prepaid plan),Tariff Plan,0.0,0.0,0.0,730,0.0,No,Unknown,Unknown,prepaid-postpaid-packages,0,1.9998,0.5,220.0
Grameenphone,GP-OFF-003,djuice (Prepaid plan),Tariff Plan,0.0,0.0,0.0,730,0.0,No,Unknown,Unknown,prepaid-postpaid-packages,0,1.9998,0.5,400.0
Grameenphone,GP-OFF-004,Nishchinto (Prepaid plan),Tariff Plan,0.0,0.0,0.0,730,0.0,No,Unknown,Unknown,prepaid-postpaid-packages,0,1.9998,0.5,400.0
Grameenphone,GP-OFF-005,Bondhu (Prepaid plan),Tariff Plan,0.0,0.0,0.0,730,0.0,No,Unknown,Unknown,prepaid-postpaid-packages,0,1.9998,0.5,0.0
Grameenphone,GP-OFF-006,Smile (Prepaid plan),Tariff Plan,0.0,0.0,0.0,730,0.0,No,Unknown,Unknown,prepaid-postpaid-packages,0,1.9998,0.5,0.0
Grameenphone,GP-OFF-007,Prime (Postpaid plan),Tariff Plan,0.0,0.0,0.0,730,0.0,No,Unknown,Unknown,prepaid-postpaid-packages,0,0.6,0.0,0.0
Grameenphone,GP-OFF-008,75 Minutes,Minute,0.0,75.0,0.0,2.0,0.0,No,*121*4405#,Unknown,bonus-minute-offer,0,0.65,0,49.0
Grameenphone,GP-OFF-009,200 Minutes,Minute,0.0,200.0,0.0,7.0,0.0,No,*121*0139#,Unknown,bonus-minute-offer,0,0.69,0,139.0
Grameenphone,GP-OFF-010,250 Minutes,Minute,0.0,250.0,0.0,30.0,0.0,No,*121*218#,Unknown,bonus-minute-offer,0,0.91,0,228.0
Grameenphone,GP-OFF-011,330 Minutes,Minute,0.0,330.0,0.0,30.0,0.0,No,*121*268#,Unknown,bonus-minute-offer,0,0.81,0,268.0
Grameenphone,GP-OFF-012,500 Minutes,Minute,0.0,500.0,0.0,30.0,0.0,No,*121*339#,Unknown,bonus-minute-offer,0,0.68,0,339.0
Grameenphone,GP-OFF-013,820mins + 1TK/MIN + 500SMS,Combo,0.0,820.0,500.0,30.0,0.0,No,*121*519#,Unknown,all-one-minute-pack,0,0.63,1.04,519.0
Grameenphone,GP-OFF-014,1020mins + 1TK/MIN + 2000SMS,Combo,0.0,1020.0,2000.0,30.0,0.0,No,*121*639#,Unknown,all-one-minute-pack,0,0.63,0.32,639.0
Grameenphone,GP-OFF-015,1165mins + 1TK/MIN + 2000SMS,Combo,0.0,1165.0,2000.0,30.0,0.0,No,*121*729#,Unknown,all-one-minute-pack,0,0.63,0.36,729.0
Grameenphone,GP-OFF-016,50 SMS 14TK (3 Day’s Validity Pack),SMS,0.0,0.0,50.0,3.0,0.0,No,*121*14#,Unknown,sms-packs,0,0,0.28,14.0
Grameenphone,GP-OFF-017,110 SMS 26 TK (3 Day’s Validity Pack),SMS,0.0,0.0,110.0,3.0,0.0,No,*121*026#,Unknown,sms-packs,0,0,0.24,26.0
Grameenphone,GP-OFF-018,210 SMS 47 TK (3 Day’s Validity Pack),SMS,0.0,0.0,210.0,3.0,0.0,No,*121*46#,Unknown,sms-packs,0,0,0.22,47.0
Grameenphone,GP-OFF-019,100 SMS 28 TK (7 Day’s Validity Pack),SMS,0.0,0.0,100.0,7.0,0.0,No,*121*28#,Unknown,sms-packs,0,0,0.28,28.0
Grameenphone,GP-OFF-020,210 SMS 49 TK (7 Day’s Validity Pack),SMS,0.0,0.0,210.0,7.0,0.0,No,*121*049#,Unknown,sms-packs,0,0,0.23,49.0
Grameenphone,GP-OFF-021,110 SMS 37 TK (Monthly SMS Pack),SMS,0.0,0.0,110.0,30.0,0.0,No,*121*36#,Unknown,sms-packs,0,0,0.34,37.0
Grameenphone,GP-OFF-022,215 SMS 66 TK (Monthly SMS Pack),SMS,0.0,0.0,215.0,30.0,0.0,No,*121*66#,Unknown,sms-packs,0,0,0.31,66.0
Grameenphone,GP-OFF-023,350 SMS 86 TK (Monthly SMS Pack),SMS,0.0,0.0,350.0,30.0,0.0,No,*121*86#,Unknown,sms-packs,0,0,0.25,86.0
Grameenphone,GP-OFF-024,500 SMS 93 TK (Monthly SMS Pack),SMS,0.0,0.0,500.0,30.0,0.0,No,*121*96#,Unknown,sms-packs,0,0,0.19,93.0
Grameenphone,GP-OFF-025,52 SMS 18 TK (Priyotoma Pack),SMS,0.0,0.0,52.0,0.0,0.0,No,*121*18#,Unknown,sms-packs,0,0,0.35,18.0
Grameenphone,GP-OFF-026,45 Days Hajj Internet Pack,Roaming,20.0,0.0,0.0,45.0,0.0,Yes,Unknown,Unknown,stay-connected-during-hajj,124.95,0,0,2499.0
Grameenphone,GP-OFF-027,45 Days Hajj Combo Pack,Roaming,15.0,75.0,0.0,45.0,0.0,Yes,Unknown,Unknown,stay-connected-during-hajj,199.93,39.99,0,2999.0
