SIM Operator ,SIM  Type ,Packages Type  ,"Package Volume 
(Data/ Minutes/ SMS)","Validity
(Days/Hours )","Price
(BDT)"
Teletalk ,Regular SIM ,Data,45GB,15 Days,259
Teletalk ,Regular SIM ,Data,100MB,3 Days,9
Teletalk ,Regular SIM ,Data,500MB,3 Days,17
Teletalk ,Regular SIM ,Data,1GB,3 Days,21
Teletalk ,Regular SIM ,Data,2GB,3 Days,36
Teletalk ,Regular SIM ,Data,3GB,3 Days,44
Teletalk ,Regular SIM ,Data,4GB,3 Days,56
Teletalk ,Regular SIM ,Data,5GB,3 Days,64
Teletalk ,Regular SIM ,Data,100MB,30 Days,21
Teletalk ,Regular SIM ,Data,500MB,30 Days,39
Teletalk ,Regular SIM ,Data,1GB,30 Days,59
Teletalk ,Regular SIM ,Data,2GB,30 Days,93
Teletalk ,Regular SIM ,Data,3GB,30 Days,139
Teletalk ,Regular SIM ,Data,4GB,30 Days,176
Teletalk ,Regular SIM ,Data,5GB,30 Days,201
Teletalk ,Regular SIM ,Data,10GB,30 Days,239
Teletalk ,Regular SIM ,Data,15GB,30 Days,276
Teletalk ,Regular SIM ,Data,20GB,30 Days,301
Teletalk ,Regular SIM ,Data,25GB,30 Days,319
Teletalk ,Regular SIM ,Data,30GB,30 Days,344
Teletalk ,Regular SIM ,Data,45GB,30 Days,445
Teletalk ,Regular SIM ,Data,100MB,7 Days,13
Teletalk ,Regular SIM ,Data,500MB,7 Days,25
Teletalk ,Regular SIM ,Data,1GB,7 Days,27
Teletalk ,Regular SIM ,Data,2GB,7 Days,47
Teletalk ,Regular SIM ,Data,3GB,7 Days,57
Teletalk ,Regular SIM ,Data,4GB,7 Days,69
Teletalk ,Regular SIM ,Data,5GB,7 Days,78
Teletalk ,Regular SIM ,Data,10GB,7 Days,97
Teletalk ,Regular SIM ,Data,15GB,7 Days,129
Teletalk ,Regular SIM ,Combo Package ,1 GB+25 minute+10 SMS,3 Days,33ÿ
Teletalk ,Regular SIM ,Combo Package ,1 GB+25 minute+10 SMS,15 Days,41
Teletalk ,Regular SIM ,Combo Package ,1 GB+55 minute+50 SMS,15 Days,54
Teletalk ,Regular SIM ,Combo Package ,1.2 GB+150 minute+120 SMSÿ,15 Days,98
Teletalk ,Regular SIM ,Combo Package ,5 GB+250 minute+300 SMS,15 Days,187ÿ
Teletalk ,Regular SIM ,Combo Package ,2 GB+350 minute+20 SMSÿ,15 Days,221
Teletalk ,Regular SIM ,Combo Package ,5 GB+450 minute+50 SMSÿ,15 Days,292ÿ
Teletalk ,Regular SIM ,Combo Package ,10 GB+100 minute+50 SMSÿ,15 Days,193ÿ
Teletalk ,Regular SIM ,Combo Package ,10 GB+350 minute+100 SMSÿ,15 Days,287ÿ
Teletalk ,Regular SIM ,Combo Package ,12 GB+500 minute+350 SMSÿ,15 Days,387
Teletalk ,Regular SIM ,Combo Package ,35 GB+800 minute+100SMSÿ,15 Days,537
Teletalk ,Regular SIM ,Combo Package ,40GB+900 minute+100SMSÿ,15 Days,587
Teletalk ,Regular SIM ,Combo Package ,50GB+1000 minute+200SMSÿ,15 Days,633ÿ
Teletalk ,Regular SIM ,Combo Package ,1.2 GB+150 minute+120 SMSÿ,3 Days,94ÿ
Teletalk ,Regular SIM ,Combo Package ,1 GB+55 minute+50 SMS,3 Days,42
Teletalk ,Regular SIM ,Combo Package ,5 GB+250 minute+300 SMS,3 Days,168
Teletalk ,Regular SIM ,Combo Package ,2 GB+350 minute+20 SMSÿ,3 Days,213ÿ
Teletalk ,Regular SIM ,Combo Package ,5 GB+450 minute+50 SMSÿ,3 Days,273
Teletalk ,Regular SIM ,Combo Package ,1 GB+25 minute+10 SMS,30 Days,43
Teletalk ,Regular SIM ,Combo Package ,1 GB+55 minute+50 SMS,30 Days,63ÿ
Teletalk ,Regular SIM ,Combo Package ,2 GB+350 minute+20 SMSÿ,30 Days,224
Teletalk ,Regular SIM ,Combo Package ,10 GB+350 minute+100 SMSÿ,30 Days,299
Teletalk ,Regular SIM ,Combo Package ,5 GB+450 minute+50 SMSÿ,30 Days,297
Teletalk ,Regular SIM ,Combo Package ,35 GB+800 minute+100SMSÿ,30 Days,548ÿ
Teletalk ,Regular SIM ,Combo Package ,40GB+900 minute+100SMSÿ,30 Days,598
Teletalk ,Regular SIM ,Combo Package ,1.2 GB+150 minute+120 SMSÿ,30 Days,101ÿ
Teletalk ,Regular SIM ,Combo Package ,5 GB+250 minute+300 SMS,30 Days,199ÿ
Teletalk ,Regular SIM ,Combo Package ,10 GB+100 minute+50 SMSÿ,30ÿ Days,209
Teletalk ,Regular SIM ,Combo Package ,12 GB+500 minute+350 SMSÿ,30 Days,399
Teletalk ,Regular SIM ,Combo Package ,50GB+1000 minute+200SMSÿ,30 Days,648
Teletalk ,Regular SIM ,Combo Package ,1 GB+25 minute+10 SMS,7 Days,37
Teletalk ,Regular SIM ,Combo Package ,1 GB+55 minute+50 SMS,7 Days,50
Teletalk ,Regular SIM ,Combo Package ,1.2 GB+150 minute+120 SMSÿ,7 Days,96ÿ
Teletalk ,Regular SIM ,Combo Package ,5 GB+250 minute+300 SMS,7 Days,181
Teletalk ,Regular SIM ,Combo Package ,2 GB+350 minute+20 SMSÿ,7ÿ Days,217ÿ
Teletalk ,Regular SIM ,Combo Package ,5 GB+450 minute+50 SMSÿ,7 Days,286
Teletalk ,Regular SIM ,minutes,23 Minutes,3 Days,14
Teletalk ,Regular SIM ,minutes,53 Minutes,5 Days,32
Teletalk ,Regular SIM ,minutes,143 Minutes,7 Days,86
Teletalk ,Regular SIM ,minutes,477 Minutes,30 Days,287
Teletalk ,Regular SIM ,Combo Package ,12min+15 SMS+50MB,3 Days,10
Teletalk ,Regular SIM ,Combo Package ,55min+50 SMS+1GB,7 Days,50
Teletalk ,Regular SIM ,Combo Package ,150min+120 SMS+1GB,30 Days,101
Teletalk ,Regular SIM ,Minutes,143 Minutes,7 Days,86
Teletalk ,Regular SIM ,Combo Package ,168 Min+97 SMS,10 Days,101
Teletalk ,Regular SIM ,Minutes,477 Minutes,30 Days,287
Teletalk ,Regular SIM ,Combo Package ,380 Min+100 SMS+1.5GB,30 Days,299
Teletalk ,Regular SIM ,SMS,96 SMS ,5 Days,10
Teletalk ,Reactivation SIM ,Data,1GB,30 DAYS,21
Teletalk ,Reactivation SIM ,Minutes,45.p/ Min. Call Rate,90 DAYS,0
Teletalk ,Reactivation SIM ,Data,2GB Free Data,7 DAYS,0
Teletalk ,Reactivation SIM ,Data,6GB,UnlimitedÿDays,127
Teletalk ,Reactivation SIM ,Data,26GB,UnlimitedÿDays,309
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
