operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,ussd_code,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Grameenphone,GPD250251R,0.78 GB,Data,0.78,0.0,0.0,1.0,Scratch Card,internet-packages,50.0,0,0,39.0
Grameenphone,GPD250026R,0.98 GB,Data,0.98,0.0,0.0,3.0,*121*3091#,internet-packages,100.0,0,0,98.0
Grameenphone,GPD250077R,3 GB,Data,3.0,0.0,0.0,3.0,*121*3188#,internet-packages,39.33,0,0,118.0
Grameenphone,GPD250082R,2 GB,Data,2.0,0.0,0.0,7.0,*121*148#,internet-packages,74.0,0,0,148.0
Grameenphone,GPD250021R,2.1 GB,Data,2.1,0.0,0.0,7.0,*121*3179#,internet-packages,85.24,0,0,179.0
Grameenphone,GPD250027R,2.2 GB,Data,2.2,0.0,0.0,7.0,*121*3286#,internet-packages,90.0,0,0,198.0
Grameenphone,GPD250032R,2.3 GB,Data,2.3,0.0,0.0,7.0,*121*3219#,internet-packages,95.22,0,0,219.0
Grameenphone,GPD250037R,2.4 GB,Data,2.4,0.0,0.0,7.0,*121*3249#,internet-packages,103.75,0,0,249.0
Grameenphone,GPD250027U,Uninterrupted Weekly Data Package ( upto 10Mbps speed),Unlimited,0.0,0.0,0.0,7.0,*121*3298#,internet-packages,0,0,0,242.0
Grameenphone,GPC240051B,0.1 GB + 10 Minutes,Combo,0.1,10.0,0.0,30.0,*121*259#,internet-packages,2590.0,25.9,0,259.0
Grameenphone,GPC250007R,0.05 GB + 15 Minutes,Combo,0.05,15.0,0.0,28.0,*121*279#,internet-packages,5580.0,18.6,0,279.0
Grameenphone,GPD250016R,2 GB,Data,2.0,0.0,0.0,30.0,*121*3297#,internet-packages,154.0,0,0,308.0
Grameenphone,GPC250064R,0.5 GB + 20 Minutes,Combo,0.5,20.0,0.0,30.0,*121*398#,internet-packages,796.0,19.9,0,398.0
Grameenphone,GPD250067R,1 GB,Data,1.0,0.0,0.0,30.0,*121*3609#,internet-packages,499.0,0,0,499.0
Grameenphone,GPD250250R,30GB (1GB/Day),Data,30.0,0.0,0.0,30.0,*121*3228#,internet-packages,18.3,0,0,549.0
Grameenphone,GPD250028R,3.5 GB,Data,3.5,0.0,0.0,30.0,*121*3619#,internet-packages,171.14,0,0,599.0
Grameenphone,GPD250273R,60GB (2GB/Day),Data,60.0,0.0,0.0,30.0,*121*0649#,internet-packages,10.82,0,0,649.0
Grameenphone,GPD250272R,4.5 GB,Data,4.5,0.0,0.0,30.0,*121*3639#,internet-packages,155.11,0,0,698.0
Grameenphone,GPD250274R,90GB (3GB/Day),Data,90.0,0.0,0.0,30.0,*121*0749#,internet-packages,8.32,0,0,749.0
